profile,mean_rho,feature_space
OutOfFocus,0.07786053327323468,original
MetaphaseAlignment,0.09274043160256473,original
Metaphase,0.09403146460384448,original
Large,0.12399871763607961,original
Anaphase,0.12967028404672087,original
Apoptosis,0.17349028644419728,original
SmallIrregular,0.21906788127100585,original
Elongated,0.25745792441662524,original
Binuclear,0.27852777983776955,original
Folded,0.2791400568085051,original
Polylobed,0.31497798055084386,original
Grape,0.31885595939614564,original
Prometaphase,0.32525493390033083,original
Interphase,0.3354672335877018,original
Hole,0.3943683080439947,original
ADCCM,0.4048670457573934,original
MetaphaseAlignment,0.33696673896011303,shuffled
Polylobed,0.3628140511774242,shuffled
SmallIrregular,0.3729695935812145,shuffled
Large,0.3758778032467083,shuffled
Binuclear,0.42920501481086626,shuffled
OutOfFocus,0.4429078720699851,shuffled
Elongated,0.44410365040670546,shuffled
Apoptosis,0.4877293725436724,shuffled
Metaphase,0.4921355483067866,shuffled
Folded,0.5006051586774255,shuffled
Grape,0.5011887002483979,shuffled
ADCCM,0.5026846988494281,shuffled
Hole,0.5108703033533385,shuffled
Interphase,0.5256956396547117,shuffled
Anaphase,0.5397042098021624,shuffled
Prometaphase,0.5851484509032637,shuffled
