profile,original,shuffled,delta_real_minus_shuffled
Anaphase,0.12967028404672087,0.5397042098021624,-0.4100339257554415
Metaphase,0.09403146460384448,0.4921355483067866,-0.3981040837029421
OutOfFocus,0.07786053327323468,0.4429078720699851,-0.36504733879675044
Apoptosis,0.17349028644419728,0.4877293725436724,-0.3142390860994751
Prometaphase,0.32525493390033083,0.5851484509032637,-0.2598935170029329
Large,0.12399871763607961,0.3758778032467083,-0.25187908561062866
MetaphaseAlignment,0.09274043160256473,0.33696673896011303,-0.2442263073575483
Folded,0.2791400568085051,0.5006051586774255,-0.22146510186892038
Interphase,0.3354672335877018,0.5256956396547117,-0.19022840606700986
Elongated,0.25745792441662524,0.44410365040670546,-0.18664572599008022
Grape,0.31885595939614564,0.5011887002483979,-0.18233274085225226
SmallIrregular,0.21906788127100585,0.3729695935812145,-0.15390171231020866
Binuclear,0.27852777983776955,0.42920501481086626,-0.1506772349730967
Hole,0.3943683080439947,0.5108703033533385,-0.1165019953093438
ADCCM,0.4048670457573934,0.5026846988494281,-0.09781765309203472
Polylobed,0.31497798055084386,0.3628140511774242,-0.04783607062658035
